Pruning Completed
-----------------------------------------------
[STAGE 3] Finetune for 25 epochs after Pruning
-----------------------------------------------
Ultralytics 8.3.176  Python-3.10.11 torch-2.7.1+cu118 CUDA:0 (NVIDIA GeForce RTX 3060, 12288MiB)
[34m[1mengine\trainer: [0magnostic_nms=False, amp=True, augment=False, auto_augment=randaugment, batch=16, bgr=0.0, box=7.5, cache=False, cfg=None, classes=None, close_mosaic=10, cls=0.5, conf=None, copy_paste=0.0, copy_paste_mode=flip, cos_lr=False, cutmix=0.0, data=C:/Users/PC/Desktop/Project/Torch-Pruning/examples/yolov11n/27073186/TXL-PBC/TXL-PBC/data.yaml, degrees=0.0, deterministic=True, device=None, dfl=1.5, dnn=False, dropout=0.0, dynamic=False, embed=None, epochs=25, erasing=0.4, exist_ok=True, fliplr=0.5, flipud=0.0, format=torchscript, fraction=1.0, freeze=None, half=False, hsv_h=0.015, hsv_s=0.7, hsv_v=0.4, imgsz=640, int8=False, iou=0.7, keras=False, kobj=1.0, line_width=None, lr0=0.001, lrf=0.01, mask_ratio=4, max_det=300, mixup=0.0, mode=train, model=yolo11n.pt, momentum=0.937, mosaic=1.0, multi_scale=False, name=pruned_b16_75.0%_after_finetune, nbs=64, nms=False, opset=None, optimize=False, optimizer=auto, overlap_mask=True, patience=100, perspective=0.0, plots=True, pose=12.0, pretrained=True, profile=False, project=C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs, rect=False, resume=False, retina_masks=False, save=True, save_conf=False, save_crop=False, save_dir=C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_75.0%_after_finetune, save_frames=False, save_json=False, save_period=-1, save_txt=False, scale=0.5, seed=0, shear=0.0, show=False, show_boxes=True, show_conf=True, show_labels=True, simplify=True, single_cls=False, source=None, split=val, stream_buffer=False, task=detect, time=None, tracker=botsort.yaml, translate=0.1, val=True, verbose=True, vid_stride=1, visualize=False, warmup_bias_lr=0.1, warmup_epochs=3.0, warmup_momentum=0.8, weight_decay=0.0005, workers=8, workspace=None
Freezing layer 'model.23.dfl.conv.weight'
[34m[1mAMP: [0mrunning Automatic Mixed Precision (AMP) checks...
[34m[1mAMP: [0mchecks passed 
[34m[1mtrain: [0mFast image access  (ping: 0.00.0 ms, read: 422.5298.9 MB/s, size: 29.0 KB)

[34m[1mtrain: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\train.cache... 882 images, 0 backgrounds, 0 corrupt: 100%|##########| 882/882 [00:00<?, ?it/s]
[34m[1mtrain: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\train.cache... 882 images, 0 backgrounds, 0 corrupt: 100%|##########| 882/882 [00:00<?, ?it/s]
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\92129d1652e75c3892beb376df57d274.png: 1 duplicate labels removed
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\a8581e04ac765bd3ad658cf8e530a6ea.png: 1 duplicate labels removed
[34m[1mtrain: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\train\c255521a08b75da09373db44e7f099c5.png: 17 duplicate labels removed
[34m[1mval: [0mFast image access  (ping: 0.00.0 ms, read: 422.2203.0 MB/s, size: 37.5 KB)

[34m[1mval: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\val.cache... 252 images, 0 backgrounds, 0 corrupt: 100%|##########| 252/252 [00:00<?, ?it/s]
[34m[1mval: [0mScanning C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\labels\val.cache... 252 images, 0 backgrounds, 0 corrupt: 100%|##########| 252/252 [00:00<?, ?it/s]
[34m[1mval: [0mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\27073186\TXL-PBC\TXL-PBC\images\val\0ac132c270355979b686c0801e558849.png: 15 duplicate labels removed
Plotting labels to C:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_75.0%_after_finetune\labels.jpg... 
[34m[1moptimizer:[0m 'optimizer=auto' found, ignoring 'lr0=0.001' and 'momentum=0.937' and determining best 'optimizer', 'lr0' and 'momentum' automatically... 
[34m[1moptimizer:[0m AdamW(lr=0.001429, momentum=0.9) with parameter groups 89 weight(decay=0.0), 96 weight(decay=0.0005), 95 bias(decay=0.0)
Image sizes 640 train, 640 val
Using 8 dataloader workers
Logging results to [1mC:\Users\PC\Desktop\Project\Torch-Pruning\examples\yolov11n\runs\pruned_b16_75.0%_after_finetune[0m
Starting training for 25 epochs...

      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

  0%|          | 0/56 [00:00<?, ?it/s]
       1/25      1.71G      2.925      4.057      2.688        309        640:   0%|          | 0/56 [00:00<?, ?it/s]
       1/25      1.71G      2.925      4.057      2.688        309        640:   2%|1         | 1/56 [00:00<00:32,  1.69it/s]
       1/25      1.71G      2.922      3.874      2.633        283        640:   2%|1         | 1/56 [00:00<00:32,  1.69it/s]
       1/25      1.71G      2.922      3.874      2.633        283        640:   4%|3         | 2/56 [00:00<00:18,  2.98it/s]
       1/25      1.81G      2.929       3.88      2.656        268        640:   4%|3         | 2/56 [00:00<00:18,  2.98it/s]
       1/25      1.81G      2.929       3.88      2.656        268        640:   5%|5         | 3/56 [00:00<00:13,  3.97it/s]
       1/25      1.81G       2.92      3.892      2.642        439        640:   5%|5         | 3/56 [00:01<00:13,  3.97it/s]
       1/25      1.81G       2.92      3.892      2.642        439        640:   7%|7         | 4/56 [00:01<00:11,  4.57it/s]
       1/25      1.81G      2.932      3.886      2.653        327        640:   7%|7         | 4/56 [00:01<00:11,  4.57it/s]
       1/25      1.81G      2.932      3.886      2.653        327        640:   9%|8         | 5/56 [00:01<00:09,  5.40it/s]
       1/25      1.81G      2.941      3.846      2.658        277        640:   9%|8         | 5/56 [00:01<00:09,  5.40it/s]
       1/25      1.81G      2.941      3.846      2.658        277        640:  11%|#         | 6/56 [00:01<00:08,  6.14it/s]
       1/25      1.81G      2.912      3.827      2.648        303        640:  11%|#         | 6/56 [00:01<00:08,  6.14it/s]
       1/25      1.81G      2.912      3.827      2.648        303        640:  12%|#2        | 7/56 [00:01<00:07,  6.64it/s]
       1/25      1.81G       2.92      3.833      2.655        276        640:  12%|#2        | 7/56 [00:01<00:07,  6.64it/s]
       1/25      1.81G       2.92      3.833      2.655        276        640:  14%|#4        | 8/56 [00:01<00:06,  6.95it/s]
       1/25      1.81G      2.928      3.841      2.653        391        640:  14%|#4        | 8/56 [00:01<00:06,  6.95it/s]
       1/25      1.81G      2.928      3.841      2.653        391        640:  16%|#6        | 9/56 [00:01<00:06,  7.25it/s]
       1/25      1.81G      2.929      3.843      2.651        340        640:  16%|#6        | 9/56 [00:01<00:06,  7.25it/s]
       1/25      1.81G      2.929      3.843      2.651        340        640:  18%|#7        | 10/56 [00:01<00:06,  7.60it/s]
       1/25      1.81G      2.934      3.862      2.654        448        640:  18%|#7        | 10/56 [00:01<00:06,  7.60it/s]
       1/25      1.81G      2.934      3.862      2.654        448        640:  20%|#9        | 11/56 [00:01<00:06,  7.26it/s]
       1/25      1.81G      2.923      3.856      2.648        348        640:  20%|#9        | 11/56 [00:02<00:06,  7.26it/s]
       1/25      1.81G      2.923      3.856      2.648        348        640:  21%|##1       | 12/56 [00:02<00:05,  7.44it/s]
       1/25      1.81G      2.909      3.857      2.635        438        640:  21%|##1       | 12/56 [00:02<00:05,  7.44it/s]
       1/25      1.81G      2.909      3.857      2.635        438        640:  23%|##3       | 13/56 [00:02<00:05,  7.54it/s]
       1/25      1.81G      2.896       3.85      2.625        348        640:  23%|##3       | 13/56 [00:02<00:05,  7.54it/s]
       1/25      1.81G      2.896       3.85      2.625        348        640:  25%|##5       | 14/56 [00:02<00:05,  7.73it/s]
       1/25      1.81G      2.886      3.846      2.621        390        640:  25%|##5       | 14/56 [00:02<00:05,  7.73it/s]
       1/25      1.81G      2.886      3.846      2.621        390        640:  27%|##6       | 15/56 [00:02<00:05,  7.84it/s]
       1/25      1.81G       2.88      3.827      2.616        243        640:  27%|##6       | 15/56 [00:02<00:05,  7.84it/s]
       1/25      1.81G       2.88      3.827      2.616        243        640:  29%|##8       | 16/56 [00:02<00:05,  7.90it/s]
       1/25      1.81G      2.863      3.805      2.602        312        640:  29%|##8       | 16/56 [00:02<00:05,  7.90it/s]
       1/25      1.81G      2.863      3.805      2.602        312        640:  30%|###       | 17/56 [00:02<00:04,  7.94it/s]
       1/25      1.81G       2.85      3.785       2.59        313        640:  30%|###       | 17/56 [00:02<00:04,  7.94it/s]
       1/25      1.81G       2.85      3.785       2.59        313        640:  32%|###2      | 18/56 [00:02<00:04,  7.97it/s]
       1/25      1.81G      2.835      3.768      2.578        289        640:  32%|###2      | 18/56 [00:02<00:04,  7.97it/s]
       1/25      1.81G      2.835      3.768      2.578        289        640:  34%|###3      | 19/56 [00:02<00:04,  7.90it/s]
       1/25      1.81G       2.82      3.753      2.566        341        640:  34%|###3      | 19/56 [00:03<00:04,  7.90it/s]
       1/25      1.81G       2.82      3.753      2.566        341        640:  36%|###5      | 20/56 [00:03<00:04,  7.92it/s]
       1/25      1.94G      2.802      3.747      2.549        428        640:  36%|###5      | 20/56 [00:03<00:04,  7.92it/s]
       1/25      1.94G      2.802      3.747      2.549        428        640:  38%|###7      | 21/56 [00:03<00:04,  7.76it/s]
       1/25      1.94G      2.782      3.732      2.533        355        640:  38%|###7      | 21/56 [00:03<00:04,  7.76it/s]
       1/25      1.94G      2.782      3.732      2.533        355        640:  39%|###9      | 22/56 [00:03<00:04,  7.82it/s]
       1/25      1.94G      2.772      3.725      2.522        415        640:  39%|###9      | 22/56 [00:03<00:04,  7.82it/s]
       1/25      1.94G      2.772      3.725      2.522        415        640:  41%|####1     | 23/56 [00:03<00:04,  7.85it/s]
       1/25      1.94G       2.75      3.714      2.506        424        640:  41%|####1     | 23/56 [00:03<00:04,  7.85it/s]
       1/25      1.94G       2.75      3.714      2.506        424        640:  43%|####2     | 24/56 [00:03<00:04,  7.84it/s]
       1/25      1.94G      2.729      3.694      2.489        297        640:  43%|####2     | 24/56 [00:03<00:04,  7.84it/s]
       1/25      1.94G      2.729      3.694      2.489        297        640:  45%|####4     | 25/56 [00:03<00:03,  7.81it/s]
       1/25      1.94G      2.704      3.677      2.471        416        640:  45%|####4     | 25/56 [00:03<00:03,  7.81it/s]
       1/25      1.94G      2.704      3.677      2.471        416        640:  46%|####6     | 26/56 [00:03<00:03,  7.83it/s]
       1/25      1.94G       2.68      3.651      2.452        367        640:  46%|####6     | 26/56 [00:03<00:03,  7.83it/s]
       1/25      1.94G       2.68      3.651      2.452        367        640:  48%|####8     | 27/56 [00:03<00:03,  7.93it/s]
       1/25      1.94G      2.661      3.627      2.436        396        640:  48%|####8     | 27/56 [00:04<00:03,  7.93it/s]
       1/25      1.94G      2.661      3.627      2.436        396        640:  50%|#####     | 28/56 [00:04<00:03,  7.73it/s]
       1/25      1.94G      2.641      3.607      2.421        373        640:  50%|#####     | 28/56 [00:04<00:03,  7.73it/s]
       1/25      1.94G      2.641      3.607      2.421        373        640:  52%|#####1    | 29/56 [00:04<00:03,  7.88it/s]
       1/25      1.94G      2.626       3.59      2.406        357        640:  52%|#####1    | 29/56 [00:04<00:03,  7.88it/s]
       1/25      1.94G      2.626       3.59      2.406        357        640:  54%|#####3    | 30/56 [00:04<00:03,  7.89it/s]
       1/25      1.94G      2.605      3.567      2.392        363        640:  54%|#####3    | 30/56 [00:04<00:03,  7.89it/s]
       1/25      1.94G      2.605      3.567      2.392        363        640:  55%|#####5    | 31/56 [00:04<00:03,  8.29it/s]
       1/25      1.94G      2.589      3.547      2.377        346        640:  55%|#####5    | 31/56 [00:04<00:03,  8.29it/s]
       1/25      1.94G      2.589      3.547      2.377        346        640:  57%|#####7    | 32/56 [00:04<00:02,  8.17it/s]
       1/25      1.94G       2.57      3.528      2.363        385        640:  57%|#####7    | 32/56 [00:04<00:02,  8.17it/s]
       1/25      1.94G       2.57      3.528      2.363        385        640:  59%|#####8    | 33/56 [00:04<00:02,  8.48it/s]
       1/25      1.94G      2.553      3.506      2.349        337        640:  59%|#####8    | 33/56 [00:04<00:02,  8.48it/s]
       1/25      1.94G      2.553      3.506      2.349        337        640:  61%|######    | 34/56 [00:04<00:02,  8.28it/s]
       1/25      1.94G      2.536      3.487      2.336        284        640:  61%|######    | 34/56 [00:04<00:02,  8.28it/s]
       1/25      1.94G      2.536      3.487      2.336        284        640:  62%|######2   | 35/56 [00:04<00:02,  8.58it/s]
       1/25      1.94G       2.52      3.467      2.323        348        640:  62%|######2   | 35/56 [00:05<00:02,  8.58it/s]
       1/25      1.94G       2.52      3.467      2.323        348        640:  64%|######4   | 36/56 [00:05<00:02,  8.34it/s]
       1/25      1.94G      2.503      3.448      2.311        310        640:  64%|######4   | 36/56 [00:05<00:02,  8.34it/s]
       1/25      1.94G      2.503      3.448      2.311        310        640:  66%|######6   | 37/56 [00:05<00:02,  8.57it/s]
       1/25      1.94G      2.484      3.427      2.298        333        640:  66%|######6   | 37/56 [00:05<00:02,  8.57it/s]
       1/25      1.94G      2.484      3.427      2.298        333        640:  68%|######7   | 38/56 [00:05<00:02,  8.40it/s]
       1/25      1.94G      2.469      3.408      2.286        351        640:  68%|######7   | 38/56 [00:05<00:02,  8.40it/s]
       1/25      1.94G      2.469      3.408      2.286        351        640:  70%|######9   | 39/56 [00:05<00:01,  8.62it/s]
       1/25      1.94G      2.453      3.391      2.274        418        640:  70%|######9   | 39/56 [00:05<00:01,  8.62it/s]
       1/25      1.94G      2.453      3.391      2.274        418        640:  71%|#######1  | 40/56 [00:05<00:01,  8.66it/s]
       1/25      1.94G      2.434      3.371      2.261        315        640:  71%|#######1  | 40/56 [00:05<00:01,  8.66it/s]
       1/25      1.94G      2.434      3.371      2.261        315        640:  73%|#######3  | 41/56 [00:05<00:01,  8.53it/s]
       1/25      1.94G      2.417      3.351       2.25        314        640:  73%|#######3  | 41/56 [00:05<00:01,  8.53it/s]
       1/25      1.94G      2.417      3.351       2.25        314        640:  75%|#######5  | 42/56 [00:05<00:01,  8.17it/s]
       1/25      1.94G        2.4      3.332      2.238        349        640:  75%|#######5  | 42/56 [00:05<00:01,  8.17it/s]
       1/25      1.94G        2.4      3.332      2.238        349        640:  77%|#######6  | 43/56 [00:05<00:01,  8.55it/s]
       1/25      1.94G      2.386      3.319      2.227        445        640:  77%|#######6  | 43/56 [00:06<00:01,  8.55it/s]
       1/25      1.94G      2.386      3.319      2.227        445        640:  79%|#######8  | 44/56 [00:06<00:01,  8.25it/s]
       1/25      1.94G      2.372      3.303      2.217        357        640:  79%|#######8  | 44/56 [00:06<00:01,  8.25it/s]
       1/25      1.94G      2.372      3.303      2.217        357        640:  80%|########  | 45/56 [00:06<00:01,  8.57it/s]
       1/25      1.94G      2.359      3.289      2.207        401        640:  80%|########  | 45/56 [00:06<00:01,  8.57it/s]
       1/25      1.94G      2.359      3.289      2.207        401        640:  82%|########2 | 46/56 [00:06<00:01,  8.10it/s]
       1/25      1.94G      2.346      3.275      2.197        451        640:  82%|########2 | 46/56 [00:06<00:01,  8.10it/s]
       1/25      1.94G      2.346      3.275      2.197        451        640:  84%|########3 | 47/56 [00:06<00:01,  8.45it/s]
       1/25      1.94G      2.332       3.26      2.186        396        640:  84%|########3 | 47/56 [00:06<00:01,  8.45it/s]
       1/25      1.94G      2.332       3.26      2.186        396        640:  86%|########5 | 48/56 [00:06<00:00,  8.23it/s]
       1/25      1.94G      2.318      3.242      2.177        272        640:  86%|########5 | 48/56 [00:06<00:00,  8.23it/s]
       1/25      1.94G      2.318      3.242      2.177        272        640:  88%|########7 | 49/56 [00:06<00:00,  8.61it/s]
       1/25      1.94G      2.303      3.227      2.166        434        640:  88%|########7 | 49/56 [00:06<00:00,  8.61it/s]
